Date,Open,High,Low,Close,Volume
2025-03-14T15:00:00.000Z,68.94,69.26,68.9,69.15,132997
2025-03-14T14:00:00.000Z,69.04,69.11,68.86,68.96,67299
2025-03-14T13:00:00.000Z,68.98,69.13,68.97,69.04,46829
2025-03-14T12:00:00.000Z,68.96,69.02,68.78,68.94,61740
2025-03-14T11:00:00.000Z,69.02,69.07,68.85,68.95,72473
2025-03-14T10:00:00.000Z,69.18,69.26,68.81,69.01,80831
2025-03-14T09:00:00.000Z,68.42,69.23,68.4,69.17,87689
2025-03-13T15:00:00.000Z,69.43,69.66,69.37,69.64,193449
2025-03-13T14:00:00.000Z,69.42,69.5,69.29,69.43,68363
2025-03-13T13:00:00.000Z,69.48,69.5,69.32,69.43,46045
2025-03-13T12:00:00.000Z,69.5,69.62,69.31,69.47,70314
2025-03-13T11:00:00.000Z,69.42,69.49,69.3,69.48,124551
2025-03-13T10:00:00.000Z,69.94,70.06,69.37,69.39,89438
2025-03-13T09:00:00.000Z,70.2,70.26,69.74,69.9,100715
2025-03-12T15:00:00.000Z,70.26,70.28,69.79,69.92,262018
2025-03-12T14:00:00.000Z,70.24,70.33,70.13,70.27,70695
2025-03-12T13:00:00.000Z,69.9,70.37,69.85,70.21,49507
2025-03-12T12:00:00.000Z,70.26,70.28,69.88,69.9,71275
2025-03-12T11:00:00.000Z,69.89,70.33,69.87,70.27,76137
2025-03-12T10:00:00.000Z,70.41,70.53,69.74,69.9,93827
2025-03-12T09:00:00.000Z,70.48,70.64,69.9,70.4,91318
2025-03-11T16:00:00.000Z,71.02,71.02,71.02,71.02,400
2025-03-11T15:00:00.000Z,71.04,71.36,70.88,71.01,351248
2025-03-11T14:00:00.000Z,71.04,71.1,70.74,71.02,125481
2025-03-11T13:00:00.000Z,70.72,71.06,70.62,71.01,124786
2025-03-11T12:00:00.000Z,70.97,71.02,70.66,70.7,171481
2025-03-11T11:00:00.000Z,71,71.16,70.86,70.95,198504
2025-03-11T10:00:00.000Z,71.51,71.6,70.91,71.01,300947
2025-03-11T09:00:00.000Z,72.05,72.05,71.1,71.47,179386
2025-03-10T15:00:00.000Z,71.91,71.92,71.32,71.47,242415
2025-03-10T14:00:00.000Z,72.49,72.6,71.81,71.91,79991
2025-03-10T13:00:00.000Z,72.68,72.69,72.31,72.49,84314
2025-03-10T12:00:00.000Z,72.65,72.97,72.56,72.67,113763
2025-03-10T11:00:00.000Z,73.17,73.19,72.38,72.65,120348
2025-03-10T10:00:00.000Z,72.36,73.22,72.19,73.17,290033
2025-03-10T09:00:00.000Z,71.94,72.36,71.73,72.33,88066
2025-03-07T16:00:00.000Z,71.43,71.43,71.43,71.43,6
2025-03-07T15:00:00.000Z,71.34,71.53,71.14,71.42,257368
2025-03-07T14:00:00.000Z,71.53,71.59,71.33,71.34,131436
2025-03-07T13:00:00.000Z,71.69,71.79,71.41,71.52,116299
2025-03-07T12:00:00.000Z,71.61,71.82,71.4,71.68,128656
2025-03-07T11:00:00.000Z,70.8,71.62,70.8,71.62,147532
2025-03-07T10:00:00.000Z,70.61,71.04,70.48,70.8,84248
2025-03-07T09:00:00.000Z,69.7,70.74,69.7,70.57,70968
2025-03-06T16:00:00.000Z,70.46,70.46,70.45,70.46,261
