Date,Open,High,Low,Close,Volume
2025-03-14T15:00:00.000Z,162.72,163.14,162.49,162.73,45051
2025-03-14T14:00:00.000Z,162.62,162.9,162.53,162.74,15470
2025-03-14T13:00:00.000Z,162.63,162.91,162.54,162.6,16512
2025-03-14T12:00:00.000Z,162.52,162.72,162.1,162.61,21029
2025-03-14T11:00:00.000Z,162.01,162.52,161.6,162.51,23782
2025-03-14T10:00:00.000Z,162.71,162.78,161.73,161.92,46438
2025-03-14T09:00:00.000Z,162.1,162.74,161.14,162.63,46972
2025-03-13T15:00:00.000Z,163.01,163.32,162.67,163,33728
2025-03-13T14:00:00.000Z,162.86,163.23,162.86,162.93,16261
2025-03-13T13:00:00.000Z,163.24,163.46,162.9,162.91,20191
2025-03-13T12:00:00.000Z,163.21,163.49,162.8,163.16,22093
2025-03-13T11:00:00.000Z,163.38,163.38,162.88,163.19,31106
2025-03-13T10:00:00.000Z,164.26,164.4,163.27,163.33,24694
2025-03-13T09:00:00.000Z,163.22,164.53,162.73,164.26,16355
2025-03-12T15:00:00.000Z,163.12,163.43,162.55,162.83,95225
2025-03-12T14:00:00.000Z,162.91,163.18,162.78,163.12,70425
2025-03-12T13:00:00.000Z,162.75,163.1,162.62,162.9,54499
2025-03-12T12:00:00.000Z,163.08,163.25,162.65,162.73,33894
2025-03-12T11:00:00.000Z,162.56,163.26,162.41,163.02,45732
2025-03-12T10:00:00.000Z,163.21,163.81,162.25,162.54,60446
2025-03-12T09:00:00.000Z,163.83,164.19,162.81,163.24,33404
2025-03-11T15:00:00.000Z,166,166.48,165.64,165.84,76495
2025-03-11T14:00:00.000Z,165.52,166.06,165.43,166,39008
2025-03-11T13:00:00.000Z,165.25,165.69,165.05,165.54,33871
2025-03-11T12:00:00.000Z,165.62,165.62,165.08,165.29,77184
2025-03-11T11:00:00.000Z,165.77,166,165.33,165.63,30145
2025-03-11T10:00:00.000Z,165.78,166.7,165.07,165.69,43216
2025-03-11T09:00:00.000Z,167.15,167.27,165.52,165.55,32643
2025-03-10T15:00:00.000Z,168.13,168.25,167.17,167.71,213400
2025-03-10T14:00:00.000Z,168.9,169.31,167.83,168.16,114994
2025-03-10T13:00:00.000Z,169.08,169.36,168.71,168.88,142478
2025-03-10T12:00:00.000Z,169.17,169.44,168.53,169.02,129385
2025-03-10T11:00:00.000Z,169.23,169.44,168.35,169.17,112489
2025-03-10T10:00:00.000Z,168.51,169.5,168.15,169.24,118190
2025-03-10T09:00:00.000Z,167.8,169.9,167.08,168.47,96855
2025-03-07T15:00:00.000Z,167.14,167.49,166.63,166.68,85637
2025-03-07T14:00:00.000Z,167.33,167.65,166.93,167.17,84897
2025-03-07T13:00:00.000Z,167.96,168.01,167.24,167.25,38935
2025-03-07T12:00:00.000Z,168.27,168.44,167.69,167.98,42018
2025-03-07T11:00:00.000Z,167.35,168.28,167.22,168.26,58403
2025-03-07T10:00:00.000Z,166.24,167.72,166.07,167.35,46225
2025-03-07T09:00:00.000Z,165.24,167.02,165.03,166.28,27178
2025-03-06T15:00:00.000Z,165.14,165.87,165.08,165.86,108096
2025-03-06T14:00:00.000Z,164.83,165.45,164.76,165.12,39563
2025-03-06T13:00:00.000Z,164.75,165.1,164.57,164.84,30908
2025-03-06T12:00:00.000Z,164.24,164.89,164.2,164.74,41178
2025-03-06T11:00:00.000Z,164.36,165.03,164.03,164.25,51614
2025-03-06T10:00:00.000Z,164.2,164.4,163.52,164.35,43158
2025-03-06T09:00:00.000Z,164.95,165.58,163.83,164.19,47095
2025-03-05T16:00:00.000Z,165.11,165.11,165.11,165.11,5
2025-03-05T15:00:00.000Z,164.98,165.35,164.82,165.14,54087
2025-03-05T14:00:00.000Z,165.22,165.41,164.99,165,24926
2025-03-05T13:00:00.000Z,165.12,165.25,164.58,165.14,22268
2025-03-05T12:00:00.000Z,165.01,165.56,164.9,165.13,24376
2025-03-05T11:00:00.000Z,163.87,165.06,163.55,165.05,56361
2025-03-05T10:00:00.000Z,165.47,165.48,163.61,163.83,65236
2025-03-05T09:00:00.000Z,164.45,166.45,164.16,165.24,18728
2025-03-04T15:00:00.000Z,166.56,166.61,165.32,165.41,129564
2025-03-04T14:00:00.000Z,166.45,166.67,165.76,166.56,96191
2025-03-04T13:00:00.000Z,166.27,166.63,166.06,166.44,46753
2025-03-04T12:00:00.000Z,167.75,167.93,166.15,166.23,83495
2025-03-04T11:00:00.000Z,168.07,168.44,167.47,167.82,62753
2025-03-04T10:00:00.000Z,169.15,169.85,167.92,168.04,116222
2025-03-04T09:00:00.000Z,168.06,169.98,167.92,169.15,104245
2025-03-03T16:00:00.000Z,167.29,167.29,167.29,167.29,1
2025-03-03T15:00:00.000Z,166.33,167.31,166.3,167.29,106051
2025-03-03T14:00:00.000Z,166.19,166.52,165.95,166.35,57204
2025-03-03T13:00:00.000Z,166.42,166.61,166.08,166.21,38717
2025-03-03T12:00:00.000Z,166.71,166.81,166.36,166.46,23951
2025-03-03T11:00:00.000Z,166.42,166.79,166.2,166.72,86604
2025-03-03T10:00:00.000Z,166.89,167.03,166.09,166.4,67999
2025-03-03T09:00:00.000Z,164.99,167.18,164.87,166.94,37208
2025-02-28T15:00:00.000Z,163.54,165.33,163.51,164.99,127262
2025-02-28T14:00:00.000Z,163.03,163.55,163.03,163.5,24550
2025-02-28T13:00:00.000Z,163.01,163.2,162.73,162.99,23779
